uniq_idx,story,source,main_entities,sent_idx,lex_bias,bias,sentence,inf_entities,lex_entities,inf_pol,lex_pol,inf_dir,lex_dir,lex_start_ends,inf_start_ends,stance,inf_quote,article,uniq_idx
53hpo27,53,hpo,['Mike Huckabee'],27,0,0,"Last year, he argued that he's on ""the right side of the Bible.""",[],[],[],[],[],[],[],[],Center,[],53hpo,53hpo27
53hpo28,53,hpo,['Mike Huckabee'],28,0,0,"""You've got to understand, this for me is not about the right side or the wrong side of history, this is the right side of the Bible, and unless God rewrites it, edits it, sends it down with his signature on it, it's not my book to change.",[],[],[],[],[],[],[],[],Center,[],53hpo,53hpo28
53hpo29,53,hpo,['Mike Huckabee'],29,0,0,"Folks, that's why I stand where I stand,"" he said.",[],[],[],[],[],[],[],[],Center,[],53hpo,53hpo29
53hpo30,53,hpo,['Mike Huckabee'],30,0,0,"According to HuffPost Pollster, Huckabee falls behind a few other GOP 2016 candidates, trailing Sens. Rand Paul (Ky.) and Ted Cruz (Texas), and Marco Rubio (Fla.), but slightly edging out former neurosurgeon Ben Carson.",[],[],[],[],[],[],[],[],Center,[],53hpo,53hpo30
52hpo00,52,hpo,"['BuzzFeed', 'Robert Mueller', 'Donald Trump', 'Michael Cohen']",0,0,0,"In a rare statement issued Friday night, special counsel Robert Mueller’s team disputed BuzzFeed’s explosive report Thursday that said President Donald Trump directed attorney Michael Cohen to lie to Congress.",[],[],[],[],[],[],[],[],Center,[],52hpo,52hpo00
52hpo01,52,hpo,"['BuzzFeed', 'Robert Mueller', 'Donald Trump', 'Michael Cohen']",1,1,0,"Peter Carr, a spokesman for the special counsel, told BuzzFeed that its “description” of statements to Mueller’s office, as well as the “characterization” of documents and testimony the office obtained, was inaccurate.",[],"['BuzzFeed', 'BuzzFeed']",[],"['Positive', 'Positive']",[],"['Indirect (General)', 'Indirect (General)']","[(72, 85), (136, 154)]",[],Center,[],52hpo,52hpo01
52hpo02,52,hpo,"['BuzzFeed', 'Robert Mueller', 'Donald Trump', 'Michael Cohen']",2,0,0,"“BuzzFeed’s description of specific statements to the Special Counsel’s Office, and characterization of documents and testimony obtained by this office, regarding Michael Cohen’s Congressional testimony are not accurate,” Carr told BuzzFeed.",[],[],[],[],[],[],[],[],Center,[],52hpo,52hpo02
52hpo03,52,hpo,"['BuzzFeed', 'Robert Mueller', 'Donald Trump', 'Michael Cohen']",3,0,0,The special counsel’s statement adds more confusion over what Mueller’s team knows in its ongoing investigation into President Donald Trump’s ties to Russia.,[],[],[],[],[],[],[],[],Center,[],52hpo,52hpo03
52hpo04,52,hpo,"['BuzzFeed', 'Robert Mueller', 'Donald Trump', 'Michael Cohen']",4,0,0,"Citing two federal law enforcement officials involved in the investigation, BuzzFeed’s Thursday night report claimed that Trump directed Cohen to lie about negotiations over a Trump Tower in Moscow.",[],[],[],[],[],[],[],[],Center,[],52hpo,52hpo04
52hpo05,52,hpo,"['BuzzFeed', 'Robert Mueller', 'Donald Trump', 'Michael Cohen']",5,0,0,"Mueller’s office, the report said, learned of Trump’s orders to Cohen “through interviews with multiple witnesses from the Trump Organization and internal company emails, text messages, and a cache of other documents.”",[],[],[],[],[],[],[],[],Center,[],52hpo,52hpo05
52hpo06,52,hpo,"['BuzzFeed', 'Robert Mueller', 'Donald Trump', 'Michael Cohen']",6,0,0,"According to BuzzFeed, “Cohen then acknowledged those instructions during his interviews with that office.”",[],[],[],[],[],[],[],[],Center,[],52hpo,52hpo06
52hpo07,52,hpo,"['BuzzFeed', 'Robert Mueller', 'Donald Trump', 'Michael Cohen']",7,0,0,"Responding to the statement from Mueller’s office on their report, BuzzFeed Editor-in-Chief Ben Smith said it stands by its reporting and asked the special counsel’s office to clarify its statement.",[],[],[],[],[],[],[],[],Center,[],52hpo,52hpo07
52hpo08,52,hpo,"['BuzzFeed', 'Robert Mueller', 'Donald Trump', 'Michael Cohen']",8,0,0,"“We stand by our reporting and the sources who informed it, and we urge the Special Counsel to make clear what he’s disputing,” Smith tweeted.",[],[],[],[],[],[],[],[],Center,[],52hpo,52hpo08
52hpo09,52,hpo,"['BuzzFeed', 'Robert Mueller', 'Donald Trump', 'Michael Cohen']",9,0,0,"In a follow-up statement on Saturday, a BuzzFeed spokesman told The New York Times that the news site had “re-confirmed” its reporting and seen “no indication that any specific aspect of our story is inaccurate.”",[],[],[],[],[],[],[],[],Center,[],52hpo,52hpo09
52hpo10,52,hpo,"['BuzzFeed', 'Robert Mueller', 'Donald Trump', 'Michael Cohen']",10,0,0,"The special counsel’s statement Friday homed in on the statements, documents and testimony that was obtained by Mueller, but it did not directly dispute that Trump had directed Cohen to lie to Congress, nor did it make mention of the Trump Tower deal in Moscow.",[],[],[],[],[],[],[],[],Center,[],52hpo,52hpo10
52hpo11,52,hpo,"['BuzzFeed', 'Robert Mueller', 'Donald Trump', 'Michael Cohen']",11,0,0,"BuzzFeed’s original reporting sent Democrats on Capitol Hill into a furor as it suggested that Trump may have obstructed justice, thus providing grounds for impeachment or criminal charges.",[],[],[],[],[],[],[],[],Center,[],52hpo,52hpo11
52hpo12,52,hpo,"['BuzzFeed', 'Robert Mueller', 'Donald Trump', 'Michael Cohen']",12,0,0,Some top Democrats called on Mueller to release what his team knows about Trump’s Moscow deal as a matter of public duty.,[],[],[],[],[],[],[],[],Center,[],52hpo,52hpo12
52hpo13,52,hpo,"['BuzzFeed', 'Robert Mueller', 'Donald Trump', 'Michael Cohen']",13,0,0,"In a strong statement issued Friday night, Sen. Dianne Feinstein joined a chorus of her Democratic colleagues in threatening serious action, including impeachment, against Trump if the allegations proved true.",[],[],[],[],[],[],[],[],Center,[],52hpo,52hpo13
52hpo14,52,hpo,"['BuzzFeed', 'Robert Mueller', 'Donald Trump', 'Michael Cohen']",14,0,1,Feinstein is a ranking member of the Senate Judiciary Committee.,['Donald Trump'],[],['Negative'],[],['Indirect (Opponent)'],[],[],"[(0, 64)]",Center,['No'],52hpo,52hpo14
52hpo15,52,hpo,"['BuzzFeed', 'Robert Mueller', 'Donald Trump', 'Michael Cohen']",15,0,0,"“We’ve previously known about attempts to develop Trump Tower Moscow and the misrepresentations surrounding those efforts,” Feinstein said.",[],[],[],[],[],[],[],[],Center,[],52hpo,52hpo15
52hpo16,52,hpo,"['BuzzFeed', 'Robert Mueller', 'Donald Trump', 'Michael Cohen']",16,0,0,"“Now, media reports say President Trump directed Michael Cohen to lie to Congress about that business deal,” Feinstein continued.",[],[],[],[],[],[],[],[],Center,[],52hpo,52hpo16
52hpo17,52,hpo,"['BuzzFeed', 'Robert Mueller', 'Donald Trump', 'Michael Cohen']",17,0,0,"“If true, the president committed a crime and must be held accountable.”",[],[],[],[],[],[],[],[],Center,[],52hpo,52hpo17
52hpo18,52,hpo,"['BuzzFeed', 'Robert Mueller', 'Donald Trump', 'Michael Cohen']",18,0,0,"Earlier Friday, chairman of the House Intelligence Committee Rep. Adam Schiff (D-Calif.) revealed that his committee had already begun searching for witnesses and documents to confirm BuzzFeed’s report. ",[],[],[],[],[],[],[],[],Center,[],52hpo,52hpo18
52hpo19,52,hpo,"['BuzzFeed', 'Robert Mueller', 'Donald Trump', 'Michael Cohen']",19,0,0,"“Our committee is already working to secure additional witness testimony and documents related to the Trump Tower Moscow deal and other investigative matters,” Schiff said.",[],[],[],[],[],[],[],[],Center,[],52hpo,52hpo19
52hpo20,52,hpo,"['BuzzFeed', 'Robert Mueller', 'Donald Trump', 'Michael Cohen']",20,0,0,"“As a counterintelligence concern of the greatest magnitude, and given that these alleged efforts were intended to interfere with our investigation, our Committee is determined to get to the bottom of this and follow the evidence wherever it may lead,” he added.",[],[],[],[],[],[],[],[],Center,[],52hpo,52hpo20
52hpo21,52,hpo,"['BuzzFeed', 'Robert Mueller', 'Donald Trump', 'Michael Cohen']",21,0,1,Trump has maintained he is innocent and on Friday accused Cohen of lying to the special counsel in order to reduce his jail time.,['Michael Cohen'],[],['Negative'],[],['Direct'],[],[],"[(58, 128)]",Center,['No'],52hpo,52hpo21
02hpo00,2,hpo,['Donald Trump'],0,1,0,President Donald Trump on Friday declared a national emergency at the southern U.S. border in an effort to unilaterally seize funding to begin building his long-promised wall between the U.S. and Mexico.,[],['Donald Trump'],[],['Negative'],[],['Direct'],"[(120, 125)]",[],Center,[],2hpo,02hpo00
02hpo01,2,hpo,['Donald Trump'],1,0,0,"Trump, who was accompanied by parents of children killed by unauthorized immigrants, said he was declaring the national emergency for “virtual invasion purposes.”",[],[],[],[],[],[],[],[],Center,[],2hpo,02hpo01
02hpo02,2,hpo,['Donald Trump'],2,0,0,But he also acknowledged another reason: He didn’t want to wait on Congress to approve the funds.,[],[],[],[],[],[],[],[],Center,[],2hpo,02hpo02
02hpo03,2,hpo,['Donald Trump'],3,0,1,"“I could do the wall over a longer period of time ― I didn’t need to do this,” Trump said in a televised speech, even as he contended the situation on the southern border amounted to a national emergency.",['Donald Trump'],[],['Negative'],[],['Direct'],[],[],"[(113, 203)]",Center,['No'],2hpo,02hpo03
02hpo04,2,hpo,['Donald Trump'],4,0,0,“But I’d rather do it much faster.”,[],[],[],[],[],[],[],[],Center,[],2hpo,02hpo04
02hpo05,2,hpo,['Donald Trump'],5,0,0,"Trump is also expected to approve Congress’ spending bill, which grants him $1.375 billion for the wall, as opposed to the $5.7 billion he initially demanded.",[],[],[],[],[],[],[],[],Center,[],2hpo,02hpo05
02hpo06,2,hpo,['Donald Trump'],6,0,0,The national emergency declaration gives Trump a chance to reroute other government money to fund the project ― and sets up a legal battle that could tie up the president’s signature project for months or years.,[],[],[],[],[],[],[],[],Center,[],2hpo,02hpo06
02hpo07,2,hpo,['Donald Trump'],7,1,0,"To justify the wall, Trump repeatedly insisted criminals, gang members and drug traffickers were pouring over the border and that only a wall could stop them.",[],['Donald Trump'],[],['Negative'],[],['Direct'],"[(38, 46)]",[],Center,[],2hpo,02hpo07
02hpo08,2,hpo,['Donald Trump'],8,0,0,"“We have far more people trying to get into our country today than probably ever before,” Trump said.",[],[],[],[],[],[],[],[],Center,[],2hpo,02hpo08
02hpo09,2,hpo,['Donald Trump'],9,0,0,"In fact, arrests for illegal border crossings are at their lowest levels since the 1970s.",[],[],[],[],[],[],[],[],Center,[],2hpo,02hpo09
02hpo10,2,hpo,['Donald Trump'],10,0,0,"There were roughly 520,000 arrests for unauthorized border crossings last year, which is about one-third of the 1.6 million arrests that happened in 2000.",[],[],[],[],[],[],[],[],Center,[],2hpo,02hpo10
02hpo11,2,hpo,['Donald Trump'],11,0,1,"Since 2014, a high proportion of those crossing have been Central American children and families seeking to make humanitarian claims such as asylum.",['Donald Trump'],[],['Negative'],[],['Indirect (General)'],[],[],"[(0, 148)]",Center,['No'],2hpo,02hpo11
02hpo12,2,hpo,['Donald Trump'],12,0,0,"The total wall funding will now come to about $8 billion, partially approved by Congress but mostly by Trump alone.",[],[],[],[],[],[],[],[],Center,[],2hpo,02hpo12
02hpo13,2,hpo,['Donald Trump'],13,0,0,"That will buy the administration some 234 miles of border wall, a senior administration official told reporters Friday.",[],[],[],[],[],[],[],[],Center,[],2hpo,02hpo13
02hpo14,2,hpo,['Donald Trump'],14,0,0,"The national emergency declaration will allow the Trump administration to use about $3.6 billion from Defense Department construction projects to build the wall, along with another $2.5 billion the department had allocated for counter-drug activities, acting White House chief of staff Mick Mulvaney told reporters.",[],[],[],[],[],[],[],[],Center,[],2hpo,02hpo14
02hpo15,2,hpo,['Donald Trump'],15,0,0,The Trump administration also plans to take executive action to move about $200 million from the Department of Homeland Security and another $600 million from the Treasury Department’s asset forfeiture account.,[],[],[],[],[],[],[],[],Center,[],2hpo,02hpo15
02hpo16,2,hpo,['Donald Trump'],16,0,0,"None of the money will come from hurricane relief, Mulvaney said.",[],[],[],[],[],[],[],[],Center,[],2hpo,02hpo16
02hpo17,2,hpo,['Donald Trump'],17,0,0,The DHS funding bill included restrictions on where new border wall could be constructed.,[],[],[],[],[],[],[],[],Center,[],2hpo,02hpo17
02hpo18,2,hpo,['Donald Trump'],18,0,0,"Those restrictions won’t apply to the portions built with national emergency money, a senior administration official said.",[],[],[],[],[],[],[],[],Center,[],2hpo,02hpo18
02hpo19,2,hpo,['Donald Trump'],19,0,0,"Senate Majority Leader Mitch McConnell (R-Ky.) announced Thursday on the Senate floor that Trump planned to sign the bill and declare a national emergency at the same time, adding that he supported the decision.",[],[],[],[],[],[],[],[],Center,[],2hpo,02hpo19
02hpo20,2,hpo,['Donald Trump'],20,0,0,Congress passed a government funding bill Thursday evening.,[],[],[],[],[],[],[],[],Center,[],2hpo,02hpo20
02hpo21,2,hpo,['Donald Trump'],21,0,0,"McConnell warned Trump in private that declaring an emergency would spark a backlash among Republicans, according to The Washington Post.",[],[],[],[],[],[],[],[],Center,[],2hpo,02hpo21
02hpo22,2,hpo,['Donald Trump'],22,0,0,A national emergency declaration grants a president the ability to circumvent certain government rules so that an administration can respond to a crisis.,[],[],[],[],[],[],[],[],Center,[],2hpo,02hpo22
02hpo23,2,hpo,['Donald Trump'],23,0,1,"In this case, Trump is sidestepping Congress so that he can gain access to certain federal funds without congressional approval.",['Donald Trump'],[],['Negative'],[],['Direct'],[],[],"[(0, 128)]",Center,['No'],2hpo,02hpo23
02hpo24,2,hpo,['Donald Trump'],24,0,0,"Administration officials cited dozens of previous national emergency declarations, insisting that Trump would not break with historical precedent by “unlocking” new pots of money for the border wall he seeks.",[],[],[],[],[],[],[],[],Center,[],2hpo,02hpo24
02hpo25,2,hpo,['Donald Trump'],25,0,0,"“It’s not as if he just didn’t get what he wanted so he’s waving a magic wand and taking a bunch of money,” Mulvaney said.",[],[],[],[],[],[],[],[],Center,[],2hpo,02hpo25
02hpo26,2,hpo,['Donald Trump'],26,0,0,The move is almost certain to be challenged in court.,[],[],[],[],[],[],[],[],Center,[],2hpo,02hpo26
02hpo27,2,hpo,['Donald Trump'],27,0,1,"“Any crisis on our border is of President Trump’s own making: family separations, child detention, turning our backs on asylum seekers, and more.",['Donald Trump'],[],['Negative'],[],['Direct'],[],[],"[(0, 145)]",Center,['Yes'],2hpo,02hpo27
02hpo28,2,hpo,['Donald Trump'],28,0,0,"There is no national emergency,” California Attorney General Xavier Becerra, who has sued the Trump administration multiple times, said in a statement.",[],[],[],[],[],[],[],[],Center,[],2hpo,02hpo28
02hpo29,2,hpo,['Donald Trump'],29,0,1,"“If Trump oversteps his authority and abandons negotiations with Congress by declaring a fabricated national emergency, we won’t only call his bluff, we will do what we must to hold him accountable.”",['Donald Trump'],[],['Negative'],[],['Direct'],[],[],"[(10, 118)]",Center,['Yes'],2hpo,02hpo29
02hpo30,2,hpo,['Donald Trump'],30,0,1,"Prior to the declaration, House Speaker Nancy Pelosi (D-Calif.) called the proclamation a “gross abuse of the power of the presidency” and vowed that “Congress will defend our constitutional authorities.”",['Donald Trump'],[],['Negative'],[],['Direct'],[],[],"[(91, 133)]",Center,['Yes'],2hpo,02hpo30
02hpo31,2,hpo,['Donald Trump'],31,0,0,"For two months, Democrats in Congress have been enmeshed in stalled negotiations with Trump as he refused to accept anything less than $5.7 billion in the federal budget for his border wall.",[],[],[],[],[],[],[],[],Center,[],2hpo,02hpo31
02hpo32,2,hpo,['Donald Trump'],32,0,0,"The stalemate caused a record-breaking partial government shutdown that forced an estimated 800,000 government employees to go without pay for 35 days.",[],[],[],[],[],[],[],[],Center,[],2hpo,02hpo32
02hpo33,2,hpo,['Donald Trump'],33,0,0,"Trump reopened the government for three weeks on Jan. 25, allowing government workers to get back to work as border security negotiations continued.",[],[],[],[],[],[],[],[],Center,[],2hpo,02hpo33
02hpo34,2,hpo,['Donald Trump'],34,1,0,"In January, Trump asserted that he had “the absolute right to declare a national emergency,” according to CNN.",[],['Donald Trump'],[],['Negative'],[],['Direct'],"[(18, 26)]",[],Center,[],2hpo,02hpo34
02hpo35,2,hpo,['Donald Trump'],35,0,0,He called it “the easy route” while insisting that he’d rather Congress approve his border wall funding.,[],[],[],[],[],[],[],[],Center,[],2hpo,02hpo35
03hpo00,3,hpo,['Larry Summers'],0,0,0,"Senior White House officials significantly raised the stakes on congressional Democrats in their efforts to get a deal passed on the Bush tax cuts, warning on Wednesday that inaction would ""significantly increase the risk"" of a double dip recession.",[],[],[],[],[],[],[],[],Left,[],3hpo,03hpo00
03hpo01,3,hpo,['Larry Summers'],1,0,1,"It wasn't quite the metaphorical flare of mushroom cloud imagery, but outgoing senior economic adviser Larry Summers offered a fairly dire assessment of the stakes in the tax cut debate.",['Larry Summers'],[],['Negative'],[],['Direct'],[],[],"[(0, 64)]",Left,['No'],3hpo,03hpo01
03hpo02,3,hpo,['Larry Summers'],2,0,0,"""If they [Democrats] don't pass this bill in the next couple weeks it will materially increase the risk that the economy would stall out and we would have a double dip,"" he told a gathering of reporters at an off camera briefing.",[],[],[],[],[],[],[],[],Left,[],3hpo,03hpo02
03hpo03,3,hpo,['Larry Summers'],3,0,0,A double dip recession?,[],[],[],[],[],[],[],[],Left,[],3hpo,03hpo03
03hpo04,3,hpo,['Larry Summers'],4,0,0,"""What I said it would significantly increase the risk,"" Summers replied.",[],[],[],[],[],[],[],[],Left,[],3hpo,03hpo04
03hpo05,3,hpo,['Larry Summers'],5,0,1,The message was hardly subtle. But it certainly was debatable.,['Larry Summers'],[],['Negative'],[],['Direct'],[],[],"[(0, 62)]",Left,['No'],3hpo,03hpo05
03hpo06,3,hpo,['Larry Summers'],6,0,0,"Summers himself, downplayed the significance of continuing the Bush tax cuts back in September -- though he was speaking, then, about the rates for the rich and the tax cut deal, at that point in time, did not include money for a 13-month extension of unemployment insurance or other tax incentives to help lower income workers.",[],[],[],[],[],[],[],[],Left,[],3hpo,03hpo06
03hpo07,3,hpo,['Larry Summers'],7,0,0,"Asked whether the country would find itself dipping towards the economic doldrums if Congress waited a month or two to get a tax cut package passed, Rob Shapiro, a former commerce official in the Clinton White House and a proponent of the current tax cut deal, offered more sober-minded analysis.",[],[],[],[],[],[],[],[],Left,[],3hpo,03hpo07
03hpo08,3,hpo,['Larry Summers'],8,0,0,"""The wait would not cause a double dip,"" he said.",[],[],[],[],[],[],[],[],Left,[],3hpo,03hpo08
03hpo09,3,hpo,['Larry Summers'],9,0,0,"""A double dip would come out of the reality of a relatively contractionary fiscal policy...",[],[],[],[],[],[],[],[],Left,[],3hpo,03hpo09
03hpo10,3,hpo,['Larry Summers'],10,0,0,I do think the deal that they announced is stimulative.,[],[],[],[],[],[],[],[],Left,[],3hpo,03hpo10
03hpo11,3,hpo,['Larry Summers'],11,0,0,And it ought to boost growth by some increment...,[],[],[],[],[],[],[],[],Left,[],3hpo,03hpo11
03hpo12,3,hpo,['Larry Summers'],12,0,0,"But the issue is, that the deal certainly is not enough to lift the economy to a different place.",[],[],[],[],[],[],[],[],Left,[],3hpo,03hpo12
03hpo13,3,hpo,['Larry Summers'],13,0,0,"Will we see what happened with the large stimulus happen here, which is once the stimulus is over the economy returns to slow growth? That's the danger.",[],[],[],[],[],[],[],[],Left,[],3hpo,03hpo13
03hpo14,3,hpo,['Larry Summers'],14,0,0,"And I keep on saying this, the single most important thing they can do to avert that is to stabilize housing prices.""",[],[],[],[],[],[],[],[],Left,[],3hpo,03hpo14
03hpo15,3,hpo,['Larry Summers'],15,0,0,"Stabilizing the housing market, however, is not on the current congressional docket.",[],[],[],[],[],[],[],[],Left,[],3hpo,03hpo15
03hpo16,3,hpo,['Larry Summers'],16,0,0,"And on Wednesday, the White House began a robust process of selling the deal to Democrats -- skeptical, as they are, about an extension of Bush tax cuts for the wealthy and a generous revision of the estate tax.",[],[],[],[],[],[],[],[],Left,[],3hpo,03hpo16
03hpo17,3,hpo,['Larry Summers'],17,0,1,There were few carrots to go along with the sticks.,['Larry Summers'],[],['Negative'],[],['Indirect (Ally)'],[],[],"[(0, 51)]",Left,['No'],3hpo,03hpo17
03hpo18,3,hpo,['Larry Summers'],18,0,0,"Asked, for instance, if the White House would be willing to revise the informal compromise to bring more Democratic lawmakers on board, White House Press Secretary Robert Gibbs said any changes would be fine, so long as they didn't result in decreased support.",[],[],[],[],[],[],[],[],Left,[],3hpo,03hpo18
03hpo19,3,hpo,['Larry Summers'],19,0,0,"Then he cautioned: ""The physics and the blood and the sweat that might be involved in that, I'm not entirely sure I would put it quite as simply as that.""",[],[],[],[],[],[],[],[],Left,[],3hpo,03hpo19
03hpo20,3,hpo,['Larry Summers'],20,0,1,"If anything, the pitch being offered from the administration to the rest of the party was: take the package now or risk being blamed for an economic downturn.",['Larry Summers'],[],['Negative'],[],['Indirect (Ally)'],[],[],"[(91, 157)]",Left,['No'],3hpo,03hpo20
03hpo21,3,hpo,['Larry Summers'],21,0,0,"""I guess the question back for those who ask [why not fight for more] is where does this go, what is the end game and what are the consequences of playing it?"" said senior adviser David Axelrod.",[],[],[],[],[],[],[],[],Left,[],3hpo,03hpo21
03hpo22,3,hpo,['Larry Summers'],22,0,0,"""Do they have a sense of how this ends and how long will that take, because as Larry said there are real consequences to that.",[],[],[],[],[],[],[],[],Left,[],3hpo,03hpo22
03hpo23,3,hpo,['Larry Summers'],23,0,0,Just as the forecasts went up on the basis of this agreement they will go down if this agreement fails. That we know.,[],[],[],[],[],[],[],[],Left,[],3hpo,03hpo23
03hpo24,3,hpo,['Larry Summers'],24,0,0,"We know that on January 1 people's taxes will go up, we know that at the end of this month 2 million people will lose their unemployment insurance.",[],[],[],[],[],[],[],[],Left,[],3hpo,03hpo24
03hpo25,3,hpo,['Larry Summers'],25,0,0,And so there are real consequences to that decision.,[],[],[],[],[],[],[],[],Left,[],3hpo,03hpo25
